filename,column_index,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,0,3.236645646015032,0.7542637145,0.0,43.5818064,31.35014053341882,43.5818064,0.0011336784647083525,0.2109159002043719,0.46677215189873417,0.9103869542403809,0.8477877894217916,0.28661916072842436,0.3072050673000792,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,1,3.5451695786261865,0.7722382685,0.0,51.70369929,37.47001693413934,51.70369929,0.0012332846792744842,0.21184356501813345,0.46677215189873417,0.911376495119987,0.842911173224811,0.30245447347585114,0.30641330166270786,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,2,19.092943037974685,11.05,3.3,192.0,454.0311513068815,188.7,0.00820168471739409,0.1396878563178406,0.43037974683544306,0.7384862231720088,1.671501874139503,0.08076009501187649,0.06334125098970704,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,3,8.188431170886076,4.16,0.515,85.3,119.93583600000939,84.785,0.004133716039534965,0.1355181203055676,0.42563291139240506,0.744166273431734,1.727199979331289,0.09026128266033254,0.06730007917656373,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,4,0.8855973101265823,0.5774999999999999,-0.179,4.286,0.8136212943282063,4.465,0.0003070543448253243,0.13038532840227932,0.42325949367088606,0.6876932208200843,1.9059777217617857,0.09026128266033254,0.06809184481393507,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,5,0.5647784810126583,0.444,0.083,3.104,0.18028373415718635,3.021,0.00016225658911071298,0.125963997703095,0.41218354430379744,0.7123291483022615,1.841917856958809,0.08392715756136183,0.06967537608867776,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_environment_data.csv,6,1.6071352848101266,1.561,1.428,2.367,0.0236059555904252,0.9390000000000001,5.656834008613791e-05,0.06778453295991346,0.3560126582278481,0.6740371630613878,2.0291995548429025,0.0855106888361045,0.06413301662707839,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,0,7.357990506329114,7.0,2.6,14.7,5.152309569530131,12.1,-7.09169392409062e-05,0.11559445842664587,0.4153481012658228,0.5202504561902754,1.979164565105961,0.14489311163895488,0.17181314330958036,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,1,78.97943037974683,78.8,44.7,101.2,87.80244081477335,56.5,0.0005280267090473662,0.11272802790022096,0.43117088607594933,0.7693455015411439,1.2025501190866532,0.2596991290577989,0.26286619160728425,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,2,9.493591772151898,8.9,-4.5,24.0,26.24653330170444,28.5,-0.00022217440148447715,0.11330545211377238,0.4050632911392405,0.46330032661849935,2.5048805750609486,0.10530482977038796,0.1330166270783848,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,3,1007.1609177215189,1008.55,963.9,1038.2,149.17910548690128,74.30000000000007,0.0006077988697402643,0.017608692869066626,0.1305379746835443,0.7830134755160065,1.6800916143624154,0.16785431512272367,0.18210609659540775,True
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,4,1.6534810126582278,1.3,0.1,5.5,1.479671426854674,5.4,-0.00010014288384837321,0.16073632184115982,0.4564873417721519,0.5110987096711258,1.6604069573747653,0.14251781472684086,0.1559778305621536,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,5,4.263212025316456,3.0,-4.7,17.9,26.057088100614898,22.599999999999998,-0.00038792643959666454,0.16783821394643364,0.46360759493670883,0.44046454510773836,1.8334035793054873,0.11797307996832937,0.10292953285827396,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,6,29.286392405063292,30.7,13.3,45.0,44.02600154222079,31.7,0.0028329275073928537,0.06821343198322086,0.37183544303797467,0.44402231330422387,3.9597285126627084,0.05463182897862233,0.06175771971496437,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,7,10.102294303797468,9.0,0.0,26.0,33.3241798627524,26.0,-0.00018549141264862458,0.07483995574336533,0.34651898734177217,0.2966041227284547,5.587433683356263,0.0332541567695962,0.0395882818685669,False
c:\Users\User\Desktop\Project_repos\tsvalidation\tsvalidation\experiments\datasets/processed_data\aire_discharge_weather_data.csv,8,3.4093354430379743,3.1,0.8,9.3,2.262222976085571,8.5,0.00012200032158670418,0.1657251974265233,0.4477848101265823,0.861605937806867,1.0504869711388551,0.28661916072842436,0.3167062549485352,True
