filename,column_index,model,mse,mae,rmse
datasets/synthetic_data/s2.csv,914,LSTM,1.7313406266701636,1.0070880588733464,1.3158041748946396
datasets/synthetic_data/s2.csv,915,LSTM,1.0427034592023972,0.8156999563789589,1.0211285223723785
datasets/synthetic_data/s2.csv,916,LSTM,0.9145317144469952,0.7252827009718255,0.9563115153792697
datasets/synthetic_data/s2.csv,917,LSTM,1.9994367382245795,1.1410224828997957,1.4140144052394161
datasets/synthetic_data/s2.csv,918,LSTM,1.464778670820298,0.973651177957671,1.2102804099960875
datasets/synthetic_data/s2.csv,919,LSTM,0.8834186948156608,0.7604807954934826,0.9399035561245956
datasets/synthetic_data/s2.csv,920,LSTM,1.4198792583728366,0.990063900757049,1.1915868656429696
datasets/synthetic_data/s2.csv,921,LSTM,1.2310130503616517,0.8744484726436988,1.1095102750140045
datasets/synthetic_data/s2.csv,922,LSTM,1.0424309068952637,0.8731407283693638,1.0209950572335127
datasets/synthetic_data/s2.csv,923,LSTM,1.2145366832876745,0.8338735306391727,1.102060199484436
datasets/synthetic_data/s2.csv,924,LSTM,1.2079626917924136,0.8651421070163624,1.0990735606830024
datasets/synthetic_data/s2.csv,925,LSTM,0.5741201056262861,0.6704114620982361,0.7577071371092436
datasets/synthetic_data/s2.csv,926,LSTM,0.9293931996181188,0.7600345304684838,0.964050413421476
datasets/synthetic_data/s2.csv,927,LSTM,1.4591696623809105,1.001205609685827,1.2079609523411385
datasets/synthetic_data/s2.csv,928,LSTM,0.8411449557640489,0.7153426977133505,0.9171395508667418
datasets/synthetic_data/s2.csv,929,LSTM,1.115566787548455,0.9221975614872487,1.056203951681897
datasets/synthetic_data/s2.csv,930,LSTM,1.5658072797762328,0.9463011909055956,1.2513222126120165
datasets/synthetic_data/s2.csv,931,LSTM,1.06603407247401,0.8681408704675234,1.032489260222115
datasets/synthetic_data/s2.csv,932,LSTM,1.5648999686403176,0.9119560213955152,1.2509596191085937
datasets/synthetic_data/s2.csv,933,LSTM,0.523254522028213,0.593172375584791,0.7233633402573101
datasets/synthetic_data/s2.csv,934,LSTM,1.168724548592812,0.9544943051730146,1.081075644251045
datasets/synthetic_data/s2.csv,935,LSTM,1.7323914667489066,1.0787635371994824,1.31620342909024
datasets/synthetic_data/s2.csv,936,LSTM,1.2717061627405146,0.8820819297199495,1.1276995001952048
datasets/synthetic_data/s2.csv,937,LSTM,1.2133642626143992,0.8254582440629823,1.1015281488071011
datasets/synthetic_data/s2.csv,938,LSTM,0.9196873193574759,0.7305494675134241,0.9590032947584048
datasets/synthetic_data/s2.csv,939,LSTM,1.7547080894062101,0.9993357642968446,1.3246539508136495
